ID	Phylum	Genus	KO	eggNOG	N	T2D	RA	LC	P	M	
MH0427_GL0026761	Firmicutes	unknown	unknown	NOG246411	11952.54098	9179.411088	17127.31306	6602.047024	2.16E-15	H	
MH0150_GL0048296	Firmicutes	unknown	unknown	NOG275177	21577.49615	12366.14302	36303.70262	11290.79143	4.33E-36	H	
MH0416_GL0222505	Firmicutes	unknown	unknown	NOG283857	8491.014446	6387.1461	12897.11888	4970.594878	7.61E-16	H	
MH0053_GL0001968	Firmicutes	unknown	unknown	NOG294082	10132.51785	8646.658518	16115.85208	4398.353862	2.06E-34	H	
O2.UC26-0_GL0071524	Firmicutes	unknown	unknown	NOG294082	12375.2925	12024.30511	18480.33695	5757.289642	1.46E-29	H	
MH0100_GL0055831	Firmicutes	unknown	unknown	NOG294082	13862.11505	12323.66818	22318.85585	6198.576447	4.35E-32	H	
MH0205_GL0102707	Bacteroidetes	Bacteroides	K03625	COG0781	2194.614606	4896.503347	1629.217777	2570.637358	1.68E-14	L	
MH0043_GL0037533	Firmicutes	unknown	unknown	NOG294082	14482.34087	11659.66531	22441.2565	7124.972098	8.38E-32	H	
ED16A_GL0013662	Firmicutes	unknown	unknown	NOG294082	1539.38	976.6373941	3162.960208	804.4082927	2.24E-31	H	
MH0020_GL0026812	Bacteroidetes	Bacteroides	K07114	NOG85156	2101.015684	4701.391276	1375.744223	2131.544154	3.99E-14	L	
MH0227_GL0091298	Firmicutes	unknown	unknown	NOG294082	2466.633679	1233.236818	3191.325915	2228.264667	4.26E-15	H	
MH0005_GL0013652	Firmicutes	unknown	unknown	NOG294082	5080.878345	3143.723512	10984.88958	2020.854553	2.50E-40	H	
MH0290_GL0089027	Firmicutes	unknown	unknown	NOG294082	5572.061739	3512.420065	12425.18005	2117.464179	2.44E-48	H	
NOM014_GL0011073	Firmicutes	unknown	unknown	NOG294082	6158.476292	5644.390165	8629.925823	2500.256902	5.85E-25	H	
MH0156_GL0076339	Firmicutes	unknown	unknown	NOG294082	6948.620178	5636.555618	10671.39788	3672.532203	4.94E-28	H	
V1.UC12-0_GL0043832	Firmicutes	unknown	unknown	NOG298558	17311.22123	10190.99821	22201.79966	14923.21455	4.16E-14	H	
V1.FI13_GL0038364	Firmicutes	unknown	unknown	NOG303501	11560.73469	8503.832512	16591.21556	6043.481667	2.87E-26	H	
MH0384_GL0053570	Firmicutes	unknown	unknown	NOG303501	5087.196833	3473.712324	6596.152892	2964.824967	3.86E-17	H	
MH0414_GL0027791	Firmicutes	unknown	unknown	NOG69420	1072.191723	444.9576824	2076.347731	800.5097561	5.40E-23	H	
159005010-stool1_revised_scaffold7052_1_gene75661	Firmicutes	unknown	unknown	NOG69420	1737.192916	1018.350676	2858.283154	1289.721	5.36E-29	H	
MH0401_GL0116334	Firmicutes	unknown	unknown	NOG69420	25041.13764	22054.90537	40228.18232	12070.88759	1.51E-34	H	
MH0178_GL0043078	Firmicutes	unknown	unknown	NOG75023	46910.16293	31888.70642	60649.54746	33605.2234	1.86E-16	H	
N035A_GL0040876	Firmicutes	unknown	unknown	NOG81629	13821.12399	13179.93804	20321.87731	9296.494187	1.41E-10	H	
MH0290_GL0041020	Firmicutes	unknown	unknown	bactNOG14419	12587.298	9991.124329	20118.53709	7669.057122	4.96E-26	H	
N040A_GL0067199	Firmicutes	unknown	unknown	bactNOG14419	2154.584104	1527.3078	3579.687754	1231.581407	2.24E-24	H	
V1.FI29_GL0003925	Firmicutes	unknown	unknown	bactNOG26309	5809.531386	5830.009959	7328.593608	3506.528594	7.25E-12	H	
T2D-6A_GL0158707	Firmicutes	unknown	unknown	firmNOG02679	1910.461211	765.5241118	3968.450669	1134.893732	6.27E-30	H	
MH0094_GL0019433	Firmicutes	unknown	unknown	firmNOG02947	12029.19881	13427.16659	17055.05815	6124.782748	3.17E-12	H	
T2D-103A_GL0035604	Firmicutes	unknown	unknown	unknown	11043.22493	8298.646882	14125.87887	8275.205041	1.07E-09	H	
V1.UC2-0_GL0124636	Firmicutes	unknown	unknown	unknown	12432.16302	8601.259229	20180.29651	7465.356236	6.14E-21	H	
O2.UC17-1_GL0015701	Firmicutes	unknown	unknown	unknown	1247.05501	788.9457529	2280.307077	527.1089106	4.04E-33	H	
MH0412_GL0103291	Firmicutes	unknown	unknown	unknown	13469.95043	14020.27312	20794.25768	6976.84165	3.82E-15	H	
MH0388_GL0025114	Firmicutes	unknown	unknown	unknown	15700.9328	13481.39186	26164.27256	9957.476415	1.90E-19	H	
O2.UC31-0_GL0020582	Firmicutes	unknown	unknown	unknown	1855.383117	1141.883571	3253.178231	1013.959073	2.74E-25	H	
V1.CD6-0-PN_GL0056902	Firmicutes	unknown	unknown	unknown	2840.115762	1116.879776	5522.836492	2105.328024	6.93E-37	H	
O2.UC41-2_GL0034262	Firmicutes	unknown	unknown	unknown	6432.578762	3627.630935	20881.10656	3178.366837	2.06E-14	H	
MH0393_GL0027488	Firmicutes	unknown	unknown	unknown	7678.286243	7265.044065	11162.45484	4439.112195	3.24E-11	H	
O2.UC19-1_GL0016424	Firmicutes	unknown	unknown	unknown	8371.753992	5651.795082	14293.9645	4286.984008	1.03E-34	H	
NOM026_GL0051771	Firmicutes	unknown	unknown	unknown	9459.177585	7376.398053	14192.58768	5404.433228	6.67E-16	H	
O2.UC43-1_GL0102010	Firmicutes	Oscillibacter	unknown	unknown	10899.54194	15482.34352	4908.506454	5041.790228	1.27E-12	L	
DOM020_GL0033613	Firmicutes	unknown	unknown	unknown	9613.050577	7001.400212	13366.76617	8368.465585	1.17E-10	H	
765034022-stool1_revised_C484537_1_gene57486	Bacteroidetes	Bacteroides	K02895	COG0198	10260.16772	8125.736276	6954.494438	16106.80753	2.03E-11	L	
V1.FI28_GL0088525	unknown	unknown	K00561	COG0030	20850.52201	19509.95325	32224.55508	12300.31754	4.06E-16	H	
V1.CD43-0_GL0092368	unknown	unknown	K02355	COG0480	5442.080802	6640.417018	9404.033838	2541.342415	6.74E-21	H	
V1.UC23-0_GL0010627	unknown	unknown	K03427	COG0286	821.9217415	537.0850765	1472.876085	324.2137236	1.12E-28	H	
MH0386_GL0007706	unknown	unknown	K03466	NOG69420	630.3704413	408.0736471	1228.700446	267.8115772	8.91E-32	H	
V1.FI10_GL0112975	unknown	unknown	K03496	COG1192	4981.236313	2848.008247	8356.804285	3887.912528	3.33E-27	H	
SZEY-106A_GL0121343	unknown	unknown	K06919	COG5545	2991.595452	3409.414535	5232.9316	1450.922089	6.00E-28	H	
159814214-stool1_revised_scaffold2474_1_gene12733	unknown	unknown	unknown	COG0553	1121.829063	935.2459235	2237.786062	739.1230407	1.34E-25	H	
BGI-33A_GL0042668	Bacteroidetes	Bacteroides	unknown	NOG71446	6893.431708	5344.992729	4585.874746	10876.31138	2.16E-10	L	
V1.FI10_GL0088581	unknown	unknown	unknown	COG0582	8375.812548	5867.348259	11295.39047	5933.851309	4.24E-17	H	
MH0432_GL0061327	unknown	unknown	unknown	COG4646	4497.54924	5083.366594	6208.332346	2407.07952	5.91E-11	H	
MH0441_GL0238063	unknown	unknown	unknown	NOG137534	7560.309593	5622.072876	10617.52924	3850.707122	1.07E-19	H	
MH0246_GL0016646	unknown	unknown	unknown	unknown	11446.38317	9565.625935	17259.30648	7258.596984	4.05E-17	H	
MH0373_GL0055785	unknown	unknown	unknown	unknown	1344.778909	1233.7877	1988.684269	693.6753415	4.09E-15	H	
V1.UC54-0_GL0086394	unknown	unknown	unknown	unknown	2038.549034	1368.302353	4521.474931	882.6202846	9.62E-27	H	
O2.UC47-2_GL0058299	unknown	unknown	unknown	unknown	9339.11659	5482.979535	13051.41179	12667.41922	4.70E-10	H	
