ID	Phylum	Genus	KO	eggNOG	N	T2D	RA	LC	P	M
MH0412_GL0103291	Firmicutes	unknown	unknown	unknown	13469.95043	14020.27312	20794.25768	6976.84165	3.82E-15	L
MH0388_GL0025114	Firmicutes	unknown	unknown	unknown	15700.9328	13481.39186	26164.27256	9957.476415	1.90E-19	L
O2.UC31-0_GL0020582	Firmicutes	unknown	unknown	unknown	1855.383117	1141.883571	3253.178231	1013.959073	2.74E-25	L
V1.UC54-0_GL0086394	unknown	unknown	unknown	unknown	2038.549034	1368.302353	4521.474931	882.6202846	9.62E-27	L
V1.UC10-0_GL0067794	Firmicutes	unknown	unknown	unknown	2337.48094	1337.853806	1039.171615	4272.338301	2.22E-26	H
O2.UC53-0_GL0115005	unknown	unknown	unknown	unknown	3709.54129	1539.109124	2089.674223	7176.534878	3.08E-22	H
V1.UC49-0_GL0173999	unknown	unknown	unknown	unknown	3854.798042	1163.410229	3478.761646	7509.277073	1.96E-24	H
T2D-62A_GL0047432	Firmicutes	unknown	unknown	unknown	4005.920008	1532.248488	3251.926546	6984.920528	2.94E-22	H
MH0084_GL0016276	Firmicutes	unknown	unknown	unknown	4885.426222	2611.116088	3958.314431	7689.034846	2.87E-20	H
NLF006_GL0006429	Firmicutes	unknown	unknown	unknown	4923.778708	2071.229129	2128.997815	7258.629	5.15E-18	H
O2.UC41-2_GL0034262	Firmicutes	unknown	unknown	unknown	6432.578762	3627.630935	20881.10656	3178.366837	2.06E-14	L
MH0178_GL0017651	Firmicutes	unknown	unknown	unknown	6705.06094	2974.375382	3100.3822	14075.31594	1.42E-33	H
MH0393_GL0027488	Firmicutes	unknown	unknown	unknown	7678.286243	7265.044065	11162.45484	4439.112195	3.24E-11	L
O2.UC19-1_GL0016424	Firmicutes	unknown	unknown	unknown	8371.753992	5651.795082	14293.9645	4286.984008	1.03E-34	L
NOM026_GL0051771	Firmicutes	unknown	unknown	unknown	9459.177585	7376.398053	14192.58768	5404.433228	6.67E-16	L
